Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-01-01	7199.8	7196.4	7259.4	7180.0	420280.0	0.05	0.0	0.0	7199.8	79.39999999999964	3.4000000000005457
2020-01-02	6967.0	7199.7	7209.6	6901.4	632780.0	-3.23	0.0	0.0	7168.76	308.2000000000007	-232.69999999999982
2020-01-03	7343.1	6967.1	7402.9	6884.1	936290.0	5.4	0.0	0.0	7192.0053333333335	518.7999999999993	376.0
2020-01-04	7376.8	7345.1	7433.1	7291.4	523910.0	0.46	0.0	0.0	7216.644622222223	141.70000000000073	31.699999999999818
2020-01-05	7372.5	7376.8	7501.0	7345.6	628140.0	-0.06	0.0	0.0	7237.42533925926	155.39999999999964	-4.300000000000182
2020-01-06	7759.1	7372.6	7783.1	7366.7	786750.0	5.24	0.0	0.0	7306.981960691359	416.40000000000055	386.5
2020-01-07	8155.7	7759.1	8182.0	7754.1	1010000.0	5.11	7453.428571428572	0.0	7420.144365932511	427.89999999999964	396.59999999999945
2020-01-08	8059.6	8154.2	8436.4	7900.8	1190000.0	-1.18	7576.257142857142	0.0	7505.40511714151	535.5999999999995	-94.59999999999945
2020-01-09	7842.4	8060.0	8065.9	7779.2	786500.0	-2.7	7701.314285714286	0.0	7550.337768189309	286.6999999999998	-217.60000000000036
2020-01-10	8187.1	7842.5	8187.4	7697.7	1050000.0	4.4	7821.885714285714	0.0	7635.2393990974015	489.6999999999998	344.60000000000036
2020-01-11	8024.1	8187.8	8262.9	8008.4	776750.0	-1.99	7914.357142857143	0.0	7687.087479217748	254.5	-163.69999999999982
2020-01-12	8187.6	8023.3	8189.9	7973.1	595220.0	2.04	8030.8	0.0	7753.8224819887155	216.79999999999927	164.30000000000018
2020-01-13	8111.4	8188.3	8196.7	8068.4	610660.0	-0.93	8081.128571428571	0.0	7801.4994843902205	128.3000000000011	-76.90000000000055
2020-01-14	8829.2	8111.2	8898.7	8111.2	1480000.0	8.85	8177.342857142858	0.0	7938.526219804858	787.5000000000009	718.0000000000009
2020-01-15	8818.3	8827.9	8904.0	8615.5	1170000.0	-0.12	8285.728571428572	0.0	8055.8293904975435	288.5	-9.600000000000364
2020-01-16	8726.9	8818.1	8850.0	8605.8	748320.0	-1.04	8412.085714285715	0.0	8145.305471764538	244.20000000000073	-91.20000000000073
2020-01-17	8913.1	8726.7	9005.1	8675.9	794110.0	2.13	8515.800000000001	0.0	8247.678075529268	329.2000000000007	186.39999999999964
2020-01-18	8916.3	8913.0	8982.3	8814.6	627740.0	0.04	8643.257142857143	0.0	8336.827665458699	167.6999999999989	3.2999999999992724
2020-01-19	8706.2	8916.3	9183.7	8552.8	975010.0	-2.36	8717.342857142856	0.0	8386.077310064205	630.9000000000015	-210.09999999999854
2020-01-20	8641.9	8705.7	8740.1	8539.2	599060.0	-0.74	8793.128571428571	0.0	8420.187002055645	200.89999999999964	-63.80000000000109
2020-01-21	8732.6	8642.0	8770.3	8524.0	540200.0	1.05	8779.328571428572	8136.700000000001	8461.842068448226	246.29999999999927	90.60000000000036
2020-01-22	8678.5	8733.0	8805.4	8610.8	509060.0	-0.62	8759.357142857143	8207.114285714288	8490.72979265513	194.60000000000036	-54.5
2020-01-23	8405.1	8678.5	8687.3	8309.6	722670.0	-3.15	8713.385714285714	8275.595238095239	8479.31248696778	377.6999999999989	-273.39999999999964
2020-01-24	8439.9	8404.9	8522.0	8242.6	617020.0	0.41	8645.785714285714	8327.82380952381	8474.05748870541	279.39999999999964	35.0
2020-01-25	8341.6	8439.9	8447.6	8277.2	444000.0	-1.17	8563.685714285715	8373.766666666666	8456.396490211355	170.39999999999964	-98.29999999999927
2020-01-26	8607.8	8341.6	8607.8	8304.9	468340.0	3.19	8549.628571428571	8432.590476190477	8476.583624849842	302.89999999999964	266.1999999999989
2020-01-27	8866.6	8608.1	8983.1	8585.6	706450.0	3.01	8581.728571428572	8485.328571428572	8528.585808203197	397.5	258.5
2020-01-28	9377.3	8866.6	9389.5	8866.6	954200.0	5.76	8673.82857142857	8543.5	8641.747700442771	522.8999999999996	510.6999999999989
2020-01-29	9298.9	9377.3	9428.7	9250.9	749880.0	-0.84	8762.457142857143	8602.514285714286	8729.368007050402	177.8000000000011	-78.39999999999964
2020-01-30	9507.3	9299.1	9569.0	9209.2	765210.0	2.24	8919.914285714285	8681.79523809524	8833.092272777014	359.7999999999993	208.1999999999989
2020-01-31	9349.1	9508.3	9525.0	9222.3	633370.0	-1.66	9049.800000000001	8737.128571428571	8901.893303073412	302.7000000000007	-159.1999999999989
2020-02-01	9381.6	9349.3	9458.8	9301.5	458420.0	0.35	9198.371428571429	8801.771428571428	8965.854195996957	157.29999999999927	32.30000000000109
2020-02-02	9334.9	9381.5	9465.4	9183.1	683370.0	-0.5	9302.242857142857	8856.404761904761	9015.060303197362	282.2999999999993	-46.600000000000364
2020-02-03	9296.6	9334.6	9582.8	9243.1	701390.0	-0.41	9363.671428571428	8912.842857142856	9052.598929437714	339.6999999999989	-38.0
2020-02-04	9193.9	9296.5	9347.5	9193.9	651680.0	-1.1	9337.471428571429	8930.209523809524	9071.439072179352	153.60000000000036	-102.60000000000036
2020-02-05	9611.8	9194.1	9726.8	9179.9	771460.0	4.54	9382.171428571428	8967.995238095238	9143.48719588877	546.8999999999996	417.6999999999989
2020-02-06	9772.0	9611.8	9854.9	9536.1	778670.0	1.67	9419.985714285713	9017.761904761905	9227.288903103601	318.7999999999993	160.20000000000073
